"Anna's House, The Lord's Pantry At Anna's House","303 North Elder Street Indianapolis IN 46222",(317) 631-5504,"Meals, case management, clothing, and free food provided."
Billie's Food Pantry,"1754 West Morris Street Indianapolis Indiana 46221",(317) 634-7722,No description provided
Bridgeport Central Baptist Church,"9039 West Washington Street Indianapolis IN 46231",(317) 247-8950,No description provided
Brightwood Community Center,"2410 North Station Street Indianapolis Indiana 46218",(317) 546-8200,"Low income families can turn to this center for advise and support. Children may receive snacks, and families food and canned goods. Or learn about cash assistance programs for rent, housing, or medical bills."
Cathedral Kitchen - Saint Peter & Paul Cathedral,"1350 North Pennsylvania Street Lower Level Indianapolis IN 46202",(317) 632-4360,No description provided
"Catholic Charities Indianapolis, Crisis Office","1435 North Illinois Street Indianapolis Indiana 46202",(317) 236-1512,"Various social services are offered. Get assistance with basic needs such as food pantry, housing, Christmas meals and gifts, thrift store, and shelter. Children may receive coats, gifts at Christmas, and snacks. Or some limited funds may be available for rent or other bills. More."
Centenary Christian Church - Nehemiah Bible Church,"1035 North Oxford Avenue Indianapolis IN 46201",317-356-1513,No description provided
Central Christian Church,"701 North Delaware Street Indianapolis Indiana 46204",(317) 635-6397,No description provided
Chapel Rock Christian Church,"2020 North Girls School Road Entrance 10 Indianapolis IN 46214",(317) 767-4309,No description provided
Christ Church Apostolic,"6601 North Grandview Drive Indianapolis IN 46260",(317) 255-8761,"Receive spiritual guidance and a meal. Breakfast, lunches, and other grocery or food items may be distributed."
Christ Church Of Glory,"2809 East 56Th Street Indianapolis IN 46220",(317) 255-0299,No description provided
Christ United Methodist Church,"8540 Us Highway 31 South Indianapolis IN 46227",(317) 882-1549,No description provided
Christamore House Family And Community Center,"502 North Tremont Avenue Indianapolis IN 46222",(317) 635-7211,No description provided
Augusta Christian Church - Fellowship Hall,"3445 West 71st Street Indianapolis IN 46268",(317) 291-1150,"The charity runs the Powerhouse International Ministries Client Choice Food Pantry. A limited service area. Groceries, baby formula, dairy supplies, and other help is available."
Barnes United Methodist Church,"900 West 30th Street Indianapolis IN 46208",(317) 923-9197,No description provided
"Faith, Hope And Love Community - Hope And Love Community","40 West 40th Street Indianapolis IN 46208",(317) 437-2884,No description provided
"Faith, Hope And Love Community - Hope And Love Community","5255 Butler Terrace Indianapolis IN 46218",(317) 437-2885,No description provided
"Faith, Hope And Love Community - Hope And Love Community","1805 West Wilkins Street Indianapolis IN 46221",(317) 437-2886,No description provided
Bethel Family Worship Center,"24 S Lynhurst Indianapolis IN 46241",(317) 244-5835,"The non-profit has perishable, canned, fresh and nonperishable food. There may also be free baby items, diapers and hygiene supplies to lower income Marion County residents in need."
Crooked Creek Food Pantry,"6940 North Michigan Road Pecar Health Center Indianapolis IN 46268",(317) 471-9064,"Applicants need to be age 55 or greater. Ensure, fruits, calcium products, and other goods are offered."
Eastern Star Care Center,"5719 Massachusetts Avenue Indianapolis Indiana 46218",(317) 547-5483,"The food bank has groceries along with toilete paper, soap, Christmas food baskets, and turkeys at Thanksgiving."
Glory Point - Christ Storehouse,"2809 East 56th Street Indianapolis IN 46220",(317) 255-0299,No description provided
Church Of Acts,"3740 South Dearborn Street Indianapolis IN 46237",(317) 783-2287,"Meals, fruits, vegetables, breads, and other items such as clothing or hygiene items may be administered."
Community Alliance Of The Far Eastside (Cafe),"8902 East 38Th Street Indianapolis Indiana 46226",(317) 890-3288,"Hot meals, including lunches and breakfasts may be served. Families can receive emergency boxes of food, groceries, and other support from the centers as well. Some clothing or information on Indianapolis public food programs may be distributed."
Community Caring And Sharing,"2830 South Holt Road Indianapolis IN 46241",(317) 243-8023,"Some limited financial help may be offered, in addition to fruits, breads, infant formula, and household goods. Food boxes and meals are provided to the needy."
Community Church,"3332 East English Avenue Indianapolis IN 46201",(317) 638-4673,"In addition to the pantry, the soup kitchen feeds the homeless and runaways."
Community Outreach Ministry Eastside,"116 South Muessing Street Indianapolis IN 46229",(317) 471-7746,No description provided
Deliverance Temple - Rainbow Of Colors Food Pantry,"8600 Meadowlark Drive Indianapolis IN 46226",(317) 895-9787,"The pantry supports the working poor, disabled, and low income in Marion County. Free groceries, canned goods, rice, frozen food, and other food supplies are distributed."
Divine Direction Christian Church,"1733 East 46Th Street Indianapolis Indiana 46205",(317) 440-6281,Call for hot or cold meals and other help.
Feed My Sheep - Eagle Creek Assembly Of God,"5901 Lafayette Road Indianapolis Indiana 46254",(317) 328-9872,No description provided
Eagle Creek Community Church,"5943 Lafayette Road Indianapolis IN 46254",(317) 291-9619,No description provided
Edna Martin Christian Center,"1970 Caroline Avenue Indianapolis Indiana 46218",(317) 637-3776,"Regardless of your culture or religion, may offer food assistance, boxes, and meals. Baby formula, supplies, and other serves are available, such as clothing closets, hot meals sites, and government aid."
Emmaus Lutheran Church Food Pantry,"1209 Linden Street Indianapolis Indiana 46203",(317) 632-1486,No description provided
Fay Biccard Glick Neighborhood Center At Crooked Creek,"2990 West 71St Street Indianapolis Indiana 46268",(317) 293-2600,"Support is offered for local residents, including clothing, food, baby supplies, and more."
First Baptist Church Of Indianapolis,"8600 North College Avenue Indianapolis IN 46240",(317) 846-5821,"An on site food bank is available for fruits, vegetables, and other government commodity items."
